timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671588059251,6583,WebApp,200,OK,172.18.41.4-Thread Group 1-95,text,true,,29222,150,39,39,https://loadtestingweb.azurewebsites.net/,6546,0,25
1671588059154,6683,WebApp,200,OK,172.18.41.4-Thread Group 1-85,text,true,,29222,150,39,39,https://loadtestingweb.azurewebsites.net/,6682,0,58
1671588058675,7163,WebApp,200,OK,172.18.41.4-Thread Group 1-36,text,true,,29222,150,38,38,https://loadtestingweb.azurewebsites.net/,7162,0,82
1671588058425,7414,WebApp,200,OK,172.18.41.4-Thread Group 1-12,text,true,,29222,150,38,38,https://loadtestingweb.azurewebsites.net/,7412,0,232
1671588058795,7082,WebApp,200,OK,172.18.41.4-Thread Group 1-49,text,true,,29222,150,35,35,https://loadtestingweb.azurewebsites.net/,7079,0,59
1671588058478,7419,WebApp,200,OK,172.18.41.4-Thread Group 1-17,text,true,,29222,150,34,34,https://loadtestingweb.azurewebsites.net/,7418,0,163
1671588058573,7325,WebApp,200,OK,172.18.41.4-Thread Group 1-27,text,true,,29222,150,34,34,https://loadtestingweb.azurewebsites.net/,7323,0,91
1671588059012,6888,WebApp,200,OK,172.18.41.4-Thread Group 1-68,text,true,,29222,150,34,34,https://loadtestingweb.azurewebsites.net/,6884,0,34
1671588058630,7304,WebApp,200,OK,172.18.41.4-Thread Group 1-33,text,true,,29222,150,31,31,https://loadtestingweb.azurewebsites.net/,7300,0,64
1671588058926,7017,WebApp,200,OK,172.18.41.4-Thread Group 1-61,text,true,,29222,150,30,30,https://loadtestingweb.azurewebsites.net/,7014,0,45
1671588058497,7494,WebApp,200,OK,172.18.41.4-Thread Group 1-19,text,true,,29222,150,29,29,https://loadtestingweb.azurewebsites.net/,7492,0,152
1671588059074,6916,WebApp,200,OK,172.18.41.4-Thread Group 1-74,text,true,,29222,150,29,29,https://loadtestingweb.azurewebsites.net/,6915,0,55
1671588058683,7308,WebApp,200,OK,172.18.41.4-Thread Group 1-38,text,true,,29222,150,29,29,https://loadtestingweb.azurewebsites.net/,7307,0,136
1671588058367,7626,WebApp,200,OK,172.18.41.4-Thread Group 1-6,text,true,,29222,150,29,29,https://loadtestingweb.azurewebsites.net/,7624,0,215
1671588058367,7629,WebApp,200,OK,172.18.41.4-Thread Group 1-4,text,true,,29222,150,28,28,https://loadtestingweb.azurewebsites.net/,7628,0,144
1671588058942,7055,WebApp,200,OK,172.18.41.4-Thread Group 1-64,text,true,,29222,150,26,26,https://loadtestingweb.azurewebsites.net/,7049,0,39
1671588059067,6935,WebApp,200,OK,172.18.41.4-Thread Group 1-72,text,true,,29229,150,23,23,https://loadtestingweb.azurewebsites.net/,6934,0,82
1671588058394,7612,WebApp,200,OK,172.18.41.4-Thread Group 1-9,text,true,,29222,150,22,22,https://loadtestingweb.azurewebsites.net/,7612,0,114
1671588058623,7405,WebApp,200,OK,172.18.41.4-Thread Group 1-30,text,true,,29222,150,21,21,https://loadtestingweb.azurewebsites.net/,7404,0,152
1671588058420,7609,WebApp,200,OK,172.18.41.4-Thread Group 1-11,text,true,,29229,150,21,21,https://loadtestingweb.azurewebsites.net/,7569,0,192
1671588058994,7036,WebApp,200,OK,172.18.41.4-Thread Group 1-66,text,true,,29222,150,21,21,https://loadtestingweb.azurewebsites.net/,7034,0,35
1671588058802,7233,WebApp,200,OK,172.18.41.4-Thread Group 1-50,text,true,,29222,150,18,18,https://loadtestingweb.azurewebsites.net/,7227,0,42
1671588059001,7043,WebApp,200,OK,172.18.41.4-Thread Group 1-60,text,true,,29222,150,17,17,https://loadtestingweb.azurewebsites.net/,7040,0,43
1671588058725,7361,WebApp,200,OK,172.18.41.4-Thread Group 1-42,text,true,,29222,150,16,16,https://loadtestingweb.azurewebsites.net/,7360,0,64
1671588058715,7388,WebApp,200,OK,172.18.41.4-Thread Group 1-41,text,true,,29222,150,15,15,https://loadtestingweb.azurewebsites.net/,7385,0,78
1671588058521,7615,WebApp,200,OK,172.18.41.4-Thread Group 1-21,text,true,,29222,150,14,14,https://loadtestingweb.azurewebsites.net/,7610,0,127
1671588059191,6948,WebApp,200,OK,172.18.41.4-Thread Group 1-89,text,true,,29222,150,14,14,https://loadtestingweb.azurewebsites.net/,6948,0,54
1671588058772,7376,WebApp,200,OK,172.18.41.4-Thread Group 1-47,text,true,,29222,150,12,12,https://loadtestingweb.azurewebsites.net/,7376,0,58
1671588058466,7692,WebApp,200,OK,172.18.41.4-Thread Group 1-15,text,true,,29222,150,11,11,https://loadtestingweb.azurewebsites.net/,7686,0,193
1671588058372,7798,WebApp,200,OK,172.18.41.4-Thread Group 1-7,text,true,,29222,150,10,10,https://loadtestingweb.azurewebsites.net/,7797,0,301
1671588058674,7495,WebApp,200,OK,172.18.41.4-Thread Group 1-35,text,true,,29222,150,10,10,https://loadtestingweb.azurewebsites.net/,7494,0,112
1671588059188,6991,WebApp,200,OK,172.18.41.4-Thread Group 1-88,text,true,,29229,150,8,8,https://loadtestingweb.azurewebsites.net/,6979,0,37
1671588058537,7643,WebApp,200,OK,172.18.41.4-Thread Group 1-23,text,true,,29236,150,8,8,https://loadtestingweb.azurewebsites.net/,7641,0,118
1671588059058,7124,WebApp,200,OK,172.18.41.4-Thread Group 1-73,text,true,,29222,150,8,8,https://loadtestingweb.azurewebsites.net/,7120,0,51
1671588059098,7085,WebApp,200,OK,172.18.41.4-Thread Group 1-78,text,true,,29222,150,8,8,https://loadtestingweb.azurewebsites.net/,7081,0,58
1671588058368,7817,WebApp,200,OK,172.18.41.4-Thread Group 1-3,text,true,,29222,150,8,8,https://loadtestingweb.azurewebsites.net/,7811,0,302
1671588059281,6914,WebApp,200,OK,172.18.41.4-Thread Group 1-98,text,true,,29222,150,3,3,https://loadtestingweb.azurewebsites.net/,6913,0,27
1671588058991,7213,WebApp,200,OK,172.18.41.4-Thread Group 1-63,text,true,,29222,150,2,2,https://loadtestingweb.azurewebsites.net/,7212,0,38
1671588058483,7728,WebApp,200,OK,172.18.41.4-Thread Group 1-18,text,true,,29222,150,1,1,https://loadtestingweb.azurewebsites.net/,7723,0,102
